"year","school","gender","test","level","avg_score","pass_rate","fail_rate"
"2006-2007","Harrisonburg High","F","Algebra I","EOC",463,92.81,7.19
"2006-2007","Harrisonburg High","F","Algebra I","",463,92.81,7.19
"2006-2007","Harrisonburg High","F","Algebra II","EOC",465,88.5,11.5
"2006-2007","Harrisonburg High","F","Algebra II","",465,88.5,11.5
"2006-2007","Harrisonburg High","F","Biology","EOC",450,86.58,13.42
"2006-2007","Harrisonburg High","F","Biology","",450,86.58,13.42
"2006-2007","Harrisonburg High","F","Chemistry","EOC",442,91.59,8.41
"2006-2007","Harrisonburg High","F","Chemistry","",442,91.59,8.41
"2006-2007","Harrisonburg High","F","Earth Science","EOC",440,78.57,21.43
"2006-2007","Harrisonburg High","F","Earth Science","",440,78.57,21.43
"2006-2007","Harrisonburg High","F","English Reading","EOC",488,93.08,6.92
"2006-2007","Harrisonburg High","F","English Reading","",487,92.5,7.5
"2006-2007","Harrisonburg High","F","Geography","EOC",477,77.78,22.22
"2006-2007","Harrisonburg High","F","Geography","",477,77.78,22.22
"2006-2007","Harrisonburg High","F","Geometry","EOC",472,90.71,9.29
"2006-2007","Harrisonburg High","F","Geometry","",472,90.71,9.29
"2006-2007","Harrisonburg High","F","VA & US History","EOC",481,89.66,10.34
"2006-2007","Harrisonburg High","F","VA & US History","",481,89.66,10.34
"2006-2007","Harrisonburg High","F","World History I","EOC",460,92,8
"2006-2007","Harrisonburg High","F","World History I","",460,92,8
"2006-2007","Harrisonburg High","F","World History II","EOC",500,96.63,3.37
"2006-2007","Harrisonburg High","F","World History II","",500,96.63,3.37
"2006-2007","Harrisonburg High","F","Writing","EOC",476,95.27,4.73
"2006-2007","Harrisonburg High","F","Writing","",476,95.27,4.73
"2006-2007","Harrisonburg High","F","","",444,84.71,15.29
"2006-2007","Harrisonburg High","F","","",466,90.61,9.39
"2006-2007","Harrisonburg High","F","","",476,91.59,8.41
"2006-2007","Harrisonburg High","F","","",476,95.27,4.73
"2006-2007","Harrisonburg High","F","","",487,92.5,7.5
"2006-2007","Harrisonburg High","M","Algebra I","EOC",466,92.8,7.2
"2006-2007","Harrisonburg High","M","Algebra I","",466,92.8,7.2
"2006-2007","Harrisonburg High","M","Algebra II","EOC",479,89.38,10.62
"2006-2007","Harrisonburg High","M","Algebra II","",479,89.38,10.62
"2006-2007","Harrisonburg High","M","Biology","EOC",453,85.53,14.47
"2006-2007","Harrisonburg High","M","Biology","",453,85.53,14.47
"2006-2007","Harrisonburg High","M","Chemistry","EOC",452,91.57,8.43
"2006-2007","Harrisonburg High","M","Chemistry","",452,91.57,8.43
"2006-2007","Harrisonburg High","M","Earth Science","EOC",453,86.27,13.73
"2006-2007","Harrisonburg High","M","Earth Science","",453,86.27,13.73
"2006-2007","Harrisonburg High","M","English Reading","EOC",470,90.07,9.93
"2006-2007","Harrisonburg High","M","English Reading","",470,90.07,9.93
"2006-2007","Harrisonburg High","M","Geography","EOC",464,80.95,19.05
"2006-2007","Harrisonburg High","M","Geography","",464,80.95,19.05
"2006-2007","Harrisonburg High","M","Geometry","EOC",474,92.25,7.75
"2006-2007","Harrisonburg High","M","Geometry","",474,92.25,7.75
"2006-2007","Harrisonburg High","M","VA & US History","EOC",480,88.41,11.59
"2006-2007","Harrisonburg High","M","VA & US History","",480,88.41,11.59
"2006-2007","Harrisonburg High","M","World History I","EOC",483,89.53,10.47
"2006-2007","Harrisonburg High","M","World History I","",483,89.53,10.47
"2006-2007","Harrisonburg High","M","World History II","EOC",513,100,0
"2006-2007","Harrisonburg High","M","World History II","",513,100,0
"2006-2007","Harrisonburg High","M","Writing","EOC",457,89.54,10.46
"2006-2007","Harrisonburg High","M","Writing","",457,89.54,10.46
"2006-2007","Harrisonburg High","M","","",453,87.1,12.9
"2006-2007","Harrisonburg High","M","","",457,89.54,10.46
"2006-2007","Harrisonburg High","M","","",470,90.07,9.93
"2006-2007","Harrisonburg High","M","","",473,91.38,8.62
"2006-2007","Harrisonburg High","M","","",486,90.65,9.35
"2006-2007","Harrisonburg High","","Algebra I","EOC",464,92.8,7.2
"2006-2007","Harrisonburg High","","Algebra I","",464,92.8,7.2
"2006-2007","Harrisonburg High","","Algebra II","EOC",472,88.94,11.06
"2006-2007","Harrisonburg High","","Algebra II","",472,88.94,11.06
"2006-2007","Harrisonburg High","","Biology","EOC",451,86.05,13.95
"2006-2007","Harrisonburg High","","Biology","",451,86.05,13.95
"2006-2007","Harrisonburg High","","Chemistry","EOC",446,91.58,8.42
"2006-2007","Harrisonburg High","","Chemistry","",446,91.58,8.42
"2006-2007","Harrisonburg High","","Earth Science","EOC",447,82.8,17.2
"2006-2007","Harrisonburg High","","Earth Science","",447,82.8,17.2
"2006-2007","Harrisonburg High","","English Reading","EOC",479,91.61,8.39
"2006-2007","Harrisonburg High","","English Reading","",479,91.32,8.68
"2006-2007","Harrisonburg High","","Geography","EOC",470,79.49,20.51
"2006-2007","Harrisonburg High","","Geography","",470,79.49,20.51
"2006-2007","Harrisonburg High","","Geometry","EOC",473,91.49,8.51
"2006-2007","Harrisonburg High","","Geometry","",473,91.49,8.51
"2006-2007","Harrisonburg High","","VA & US History","EOC",481,89.05,10.95
"2006-2007","Harrisonburg High","","VA & US History","",481,89.05,10.95
"2006-2007","Harrisonburg High","","World History I","EOC",472,90.71,9.29
"2006-2007","Harrisonburg High","","World History I","",472,90.71,9.29
"2006-2007","Harrisonburg High","","World History II","EOC",506,98.17,1.83
"2006-2007","Harrisonburg High","","World History II","",506,98.17,1.83
"2006-2007","Harrisonburg High","","Writing","EOC",467,92.55,7.45
"2006-2007","Harrisonburg High","","Writing","",467,92.55,7.45
"2006-2007","Harrisonburg High","","","",448,85.93,14.07
"2006-2007","Harrisonburg High","","","",467,92.55,7.45
"2006-2007","Harrisonburg High","","","",470,90.99,9.01
"2006-2007","Harrisonburg High","","","",479,91.32,8.68
"2006-2007","Harrisonburg High","","","",481,91.12,8.88
"2006-2007","Keister Elementary","F","English Reading","3",469,67.86,32.14
"2006-2007","Keister Elementary","F","English Reading","4",489,86.49,13.51
"2006-2007","Keister Elementary","F","English Reading","5",442,70,30
"2006-2007","Keister Elementary","F","English Reading","",468,75.79,24.21
"2006-2007","Keister Elementary","F","History","3",514,96.3,3.7
"2006-2007","Keister Elementary","F","History","CST",446,70,30
"2006-2007","Keister Elementary","F","History","",478,82.46,17.54
"2006-2007","Keister Elementary","F","Mathematics","3",481,82.14,17.86
"2006-2007","Keister Elementary","F","Mathematics","4",491,91.89,8.11
"2006-2007","Keister Elementary","F","Mathematics","5",468,80,20
"2006-2007","Keister Elementary","F","Mathematics","",481,85.26,14.74
"2006-2007","Keister Elementary","F","Science","3",486,81.48,18.52
"2006-2007","Keister Elementary","F","Science","5",446,83.33,16.67
"2006-2007","Keister Elementary","F","Science","",465,82.46,17.54
"2006-2007","Keister Elementary","F","Writing","5",453,76.67,23.33
"2006-2007","Keister Elementary","F","Writing","",453,76.67,23.33
"2006-2007","Keister Elementary","F","","",453,76.67,23.33
"2006-2007","Keister Elementary","F","","",465,82.46,17.54
"2006-2007","Keister Elementary","F","","",468,75.79,24.21
"2006-2007","Keister Elementary","F","","",478,82.46,17.54
"2006-2007","Keister Elementary","F","","",481,85.26,14.74
"2006-2007","Keister Elementary","M","English Reading","3",453,71.74,28.26
"2006-2007","Keister Elementary","M","English Reading","4",486,82.93,17.07
"2006-2007","Keister Elementary","M","English Reading","5",429,69.57,30.43
"2006-2007","Keister Elementary","M","English Reading","",455,74.44,25.56
"2006-2007","Keister Elementary","M","History","3",519,86.96,13.04
"2006-2007","Keister Elementary","M","History","CST",453,73.33,26.67
"2006-2007","Keister Elementary","M","History","",486,80.22,19.78
"2006-2007","Keister Elementary","M","Mathematics","3",483,85.42,14.58
"2006-2007","Keister Elementary","M","Mathematics","4",488,80,20
"2006-2007","Keister Elementary","M","Mathematics","5",459,78.26,21.74
"2006-2007","Keister Elementary","M","Mathematics","",476,81.34,18.66
"2006-2007","Keister Elementary","M","Science","3",495,89.13,10.87
"2006-2007","Keister Elementary","M","Science","5",447,82.22,17.78
"2006-2007","Keister Elementary","M","Science","",471,85.71,14.29
"2006-2007","Keister Elementary","M","Writing","5",439,75.61,24.39
"2006-2007","Keister Elementary","M","Writing","",439,75.61,24.39
"2006-2007","Keister Elementary","M","","",439,75.61,24.39
"2006-2007","Keister Elementary","M","","",455,74.44,25.56
"2006-2007","Keister Elementary","M","","",471,85.71,14.29
"2006-2007","Keister Elementary","M","","",476,81.34,18.66
"2006-2007","Keister Elementary","M","","",486,80.22,19.78
"2006-2007","Keister Elementary","","English Reading","3",459,70.27,29.73
"2006-2007","Keister Elementary","","English Reading","4",488,84.62,15.38
"2006-2007","Keister Elementary","","English Reading","5",434,69.74,30.26
"2006-2007","Keister Elementary","","English Reading","",460,75,25
"2006-2007","Keister Elementary","","History","3",517,90.41,9.59
"2006-2007","Keister Elementary","","History","CST",450,72,28
"2006-2007","Keister Elementary","","History","",483,81.08,18.92
"2006-2007","Keister Elementary","","Mathematics","3",482,84.21,15.79
"2006-2007","Keister Elementary","","Mathematics","4",489,85.71,14.29
"2006-2007","Keister Elementary","","Mathematics","5",463,78.95,21.05
"2006-2007","Keister Elementary","","Mathematics","",478,82.97,17.03
"2006-2007","Keister Elementary","","Science","3",492,86.3,13.7
"2006-2007","Keister Elementary","","Science","5",446,82.67,17.33
"2006-2007","Keister Elementary","","Science","",469,84.46,15.54
"2006-2007","Keister Elementary","","Writing","5",445,76.06,23.94
"2006-2007","Keister Elementary","","Writing","",445,76.06,23.94
"2006-2007","Keister Elementary","","","",445,76.06,23.94
"2006-2007","Keister Elementary","","","",460,75,25
"2006-2007","Keister Elementary","","","",469,84.46,15.54
"2006-2007","Keister Elementary","","","",478,82.97,17.03
"2006-2007","Keister Elementary","","","",483,81.08,18.92
"2006-2007","Spotswood Elementary","F","English Reading","3",438,67.44,32.56
"2006-2007","Spotswood Elementary","F","English Reading","4",434,56.1,43.9
"2006-2007","Spotswood Elementary","F","English Reading","5",441,61.11,38.89
"2006-2007","Spotswood Elementary","F","English Reading","",437,61.67,38.33
"2006-2007","Spotswood Elementary","F","History","3",502,97.06,2.94
"2006-2007","Spotswood Elementary","F","History","CST",434,62.86,37.14
"2006-2007","Spotswood Elementary","F","History","",467,79.71,20.29
"2006-2007","Spotswood Elementary","F","Mathematics","3",476,90.48,9.52
"2006-2007","Spotswood Elementary","F","Mathematics","4",435,66.67,33.33
"2006-2007","Spotswood Elementary","F","Mathematics","5",446,64.86,35.14
"2006-2007","Spotswood Elementary","F","Mathematics","",453,74.58,25.42
"2006-2007","Spotswood Elementary","F","Science","3",462,76.47,23.53
"2006-2007","Spotswood Elementary","F","Science","5",420,58.33,41.67
"2006-2007","Spotswood Elementary","F","Science","",441,67.14,32.86
"2006-2007","Spotswood Elementary","F","Writing","5",477,92.86,7.14
"2006-2007","Spotswood Elementary","F","Writing","",477,92.86,7.14
"2006-2007","Spotswood Elementary","F","","",437,61.67,38.33
"2006-2007","Spotswood Elementary","F","","",441,67.14,32.86
"2006-2007","Spotswood Elementary","F","","",453,74.58,25.42
"2006-2007","Spotswood Elementary","F","","",467,79.71,20.29
"2006-2007","Spotswood Elementary","F","","",477,92.86,7.14
"2006-2007","Spotswood Elementary","M","English Reading","3",421,63.64,36.36
"2006-2007","Spotswood Elementary","M","English Reading","4",440,62.96,37.04
"2006-2007","Spotswood Elementary","M","English Reading","5",461,73.17,26.83
"2006-2007","Spotswood Elementary","M","English Reading","",443,67.33,32.67
"2006-2007","Spotswood Elementary","M","History","3",476,82.61,17.39
"2006-2007","Spotswood Elementary","M","History","CST",466,78.05,21.95
"2006-2007","Spotswood Elementary","M","History","",469,80,20
"2006-2007","Spotswood Elementary","M","Mathematics","3",477,87.1,12.9
"2006-2007","Spotswood Elementary","M","Mathematics","4",428,53.85,46.15
"2006-2007","Spotswood Elementary","M","Mathematics","5",466,70.73,29.27
"2006-2007","Spotswood Elementary","M","Mathematics","",460,71.43,28.57
"2006-2007","Spotswood Elementary","M","Science","3",433,78.26,21.74
"2006-2007","Spotswood Elementary","M","Science","5",440,73.17,26.83
"2006-2007","Spotswood Elementary","M","Science","",438,75,25
"2006-2007","Spotswood Elementary","M","Writing","5",459,94.44,5.56
"2006-2007","Spotswood Elementary","M","Writing","",459,94.44,5.56
"2006-2007","Spotswood Elementary","M","","",438,75,25
"2006-2007","Spotswood Elementary","M","","",443,67.33,32.67
"2006-2007","Spotswood Elementary","M","","",459,94.44,5.56
"2006-2007","Spotswood Elementary","M","","",460,71.43,28.57
"2006-2007","Spotswood Elementary","M","","",469,80,20
"2006-2007","Spotswood Elementary","","English Reading","3",431,65.79,34.21
"2006-2007","Spotswood Elementary","","English Reading","4",436,58.82,41.18
"2006-2007","Spotswood Elementary","","English Reading","5",452,67.53,32.47
"2006-2007","Spotswood Elementary","","English Reading","",440,64.25,35.75
"2006-2007","Spotswood Elementary","","History","3",492,91.23,8.77
"2006-2007","Spotswood Elementary","","History","CST",451,71.05,28.95
"2006-2007","Spotswood Elementary","","History","",468,79.85,20.15
"2006-2007","Spotswood Elementary","","Mathematics","3",476,89.04,10.96
"2006-2007","Spotswood Elementary","","Mathematics","4",432,61.54,38.46
"2006-2007","Spotswood Elementary","","Mathematics","5",457,67.95,32.05
"2006-2007","Spotswood Elementary","","Mathematics","",456,73.15,26.85
"2006-2007","Spotswood Elementary","","Science","3",451,77.19,22.81
"2006-2007","Spotswood Elementary","","Science","5",431,66.23,33.77
"2006-2007","Spotswood Elementary","","Science","",439,70.9,29.1
"2006-2007","Spotswood Elementary","","Writing","5",467,93.75,6.25
"2006-2007","Spotswood Elementary","","Writing","",467,93.75,6.25
"2006-2007","Spotswood Elementary","","","",439,70.9,29.1
"2006-2007","Spotswood Elementary","","","",440,64.25,35.75
"2006-2007","Spotswood Elementary","","","",456,73.15,26.85
"2006-2007","Spotswood Elementary","","","",467,93.75,6.25
"2006-2007","Spotswood Elementary","","","",468,79.85,20.15
"2006-2007","Stone Spring Elementary","F","English Reading","3",461,64.29,35.71
"2006-2007","Stone Spring Elementary","F","English Reading","4",477,84.91,15.09
"2006-2007","Stone Spring Elementary","F","English Reading","5",456,79.59,20.41
"2006-2007","Stone Spring Elementary","F","English Reading","",465,77.08,22.92
"2006-2007","Stone Spring Elementary","F","History","3",511,97.62,2.38
"2006-2007","Stone Spring Elementary","F","History","CST",425,65.22,34.78
"2006-2007","Stone Spring Elementary","F","History","",466,80.68,19.32
"2006-2007","Stone Spring Elementary","F","Mathematics","3",486,85.71,14.29
"2006-2007","Stone Spring Elementary","F","Mathematics","4",473,79.25,20.75
"2006-2007","Stone Spring Elementary","F","Mathematics","5",476,85.71,14.29
"2006-2007","Stone Spring Elementary","F","Mathematics","",478,83.33,16.67
"2006-2007","Stone Spring Elementary","F","Science","3",478,85.37,14.63
"2006-2007","Stone Spring Elementary","F","Science","5",434,73.91,26.09
"2006-2007","Stone Spring Elementary","F","Science","",455,79.31,20.69
"2006-2007","Stone Spring Elementary","F","Writing","5",449,85.11,14.89
"2006-2007","Stone Spring Elementary","F","Writing","",449,85.11,14.89
"2006-2007","Stone Spring Elementary","F","","",449,85.11,14.89
"2006-2007","Stone Spring Elementary","F","","",455,79.31,20.69
"2006-2007","Stone Spring Elementary","F","","",465,77.08,22.92
"2006-2007","Stone Spring Elementary","F","","",466,80.68,19.32
"2006-2007","Stone Spring Elementary","F","","",478,83.33,16.67
"2006-2007","Stone Spring Elementary","M","English Reading","3",438,63.46,36.54
"2006-2007","Stone Spring Elementary","M","English Reading","4",449,68.29,31.71
"2006-2007","Stone Spring Elementary","M","English Reading","5",476,90.7,9.3
"2006-2007","Stone Spring Elementary","M","English Reading","",453,73.53,26.47
"2006-2007","Stone Spring Elementary","M","History","3",509,96.23,3.77
"2006-2007","Stone Spring Elementary","M","History","CST",474,79.07,20.93
"2006-2007","Stone Spring Elementary","M","History","",493,88.54,11.46
"2006-2007","Stone Spring Elementary","M","Mathematics","3",483,86.79,13.21
"2006-2007","Stone Spring Elementary","M","Mathematics","4",456,78.57,21.43
"2006-2007","Stone Spring Elementary","M","Mathematics","5",489,79.55,20.45
"2006-2007","Stone Spring Elementary","M","Mathematics","",477,82.01,17.99
"2006-2007","Stone Spring Elementary","M","Science","3",482,90.57,9.43
"2006-2007","Stone Spring Elementary","M","Science","5",455,83.72,16.28
"2006-2007","Stone Spring Elementary","M","Science","",470,87.5,12.5
"2006-2007","Stone Spring Elementary","M","Writing","5",447,88.37,11.63
"2006-2007","Stone Spring Elementary","M","Writing","",447,88.37,11.63
"2006-2007","Stone Spring Elementary","M","","",447,88.37,11.63
"2006-2007","Stone Spring Elementary","M","","",453,73.53,26.47
"2006-2007","Stone Spring Elementary","M","","",470,87.5,12.5
"2006-2007","Stone Spring Elementary","M","","",477,82.01,17.99
"2006-2007","Stone Spring Elementary","M","","",493,88.54,11.46
"2006-2007","Stone Spring Elementary","","English Reading","3",448,63.83,36.17
"2006-2007","Stone Spring Elementary","","English Reading","4",465,77.66,22.34
"2006-2007","Stone Spring Elementary","","English Reading","5",465,84.78,15.22
"2006-2007","Stone Spring Elementary","","English Reading","",459,75.36,24.64
"2006-2007","Stone Spring Elementary","","History","3",510,96.84,3.16
"2006-2007","Stone Spring Elementary","","History","CST",449,71.91,28.09
"2006-2007","Stone Spring Elementary","","History","",480,84.78,15.22
"2006-2007","Stone Spring Elementary","","Mathematics","3",484,86.32,13.68
"2006-2007","Stone Spring Elementary","","Mathematics","4",466,78.95,21.05
"2006-2007","Stone Spring Elementary","","Mathematics","5",482,82.8,17.2
"2006-2007","Stone Spring Elementary","","Mathematics","",477,82.69,17.31
"2006-2007","Stone Spring Elementary","","Science","3",480,88.3,11.7
"2006-2007","Stone Spring Elementary","","Science","5",444,78.65,21.35
"2006-2007","Stone Spring Elementary","","Science","",463,83.61,16.39
"2006-2007","Stone Spring Elementary","","Writing","5",448,86.67,13.33
"2006-2007","Stone Spring Elementary","","Writing","",448,86.67,13.33
"2006-2007","Stone Spring Elementary","","","",448,86.67,13.33
"2006-2007","Stone Spring Elementary","","","",459,75.36,24.64
"2006-2007","Stone Spring Elementary","","","",463,83.61,16.39
"2006-2007","Stone Spring Elementary","","","",477,82.69,17.31
"2006-2007","Stone Spring Elementary","","","",480,84.78,15.22
"2006-2007","Thomas Harrison Middle","F","Algebra I","EOC",543,100,0
"2006-2007","Thomas Harrison Middle","F","Algebra I","",543,100,0
"2006-2007","Thomas Harrison Middle","F","English Reading","6",471,80.63,19.38
"2006-2007","Thomas Harrison Middle","F","English Reading","7",477,77.17,22.83
"2006-2007","Thomas Harrison Middle","F","English Reading","8",457,78.62,21.38
"2006-2007","Thomas Harrison Middle","F","English Reading","",468,78.94,21.06
"2006-2007","Thomas Harrison Middle","F","History","8",441,70.63,29.37
"2006-2007","Thomas Harrison Middle","F","History","",441,70.63,29.37
"2006-2007","Thomas Harrison Middle","F","Mathematics","6",427,61.15,38.85
"2006-2007","Thomas Harrison Middle","F","Mathematics","7",427,56.46,43.54
"2006-2007","Thomas Harrison Middle","F","Mathematics","8",470,77.85,22.15
"2006-2007","Thomas Harrison Middle","F","Mathematics","",442,65.37,34.63
"2006-2007","Thomas Harrison Middle","F","Science","8",458,80.74,19.26
"2006-2007","Thomas Harrison Middle","F","Science","",458,80.74,19.26
"2006-2007","Thomas Harrison Middle","F","Writing","8",440,89.78,10.22
"2006-2007","Thomas Harrison Middle","F","Writing","",440,89.78,10.22
"2006-2007","Thomas Harrison Middle","F","","",440,89.78,10.22
"2006-2007","Thomas Harrison Middle","F","","",441,70.63,29.37
"2006-2007","Thomas Harrison Middle","F","","",446,66.8,33.2
"2006-2007","Thomas Harrison Middle","F","","",458,80.74,19.26
"2006-2007","Thomas Harrison Middle","F","","",468,78.94,21.06
"2006-2007","Thomas Harrison Middle","M","Algebra I","EOC",543,100,0
"2006-2007","Thomas Harrison Middle","M","Algebra I","",543,100,0
"2006-2007","Thomas Harrison Middle","M","English Reading","6",468,79.22,20.78
"2006-2007","Thomas Harrison Middle","M","English Reading","7",455,71.72,28.28
"2006-2007","Thomas Harrison Middle","M","English Reading","8",446,72.3,27.7
"2006-2007","Thomas Harrison Middle","M","English Reading","",457,74.5,25.5
"2006-2007","Thomas Harrison Middle","M","History","8",456,75.69,24.31
"2006-2007","Thomas Harrison Middle","M","History","",456,75.69,24.31
"2006-2007","Thomas Harrison Middle","M","Mathematics","6",424,63.29,36.71
"2006-2007","Thomas Harrison Middle","M","Mathematics","7",418,52.83,47.17
"2006-2007","Thomas Harrison Middle","M","Mathematics","8",478,73.65,26.35
"2006-2007","Thomas Harrison Middle","M","Mathematics","",439,63.01,36.99
"2006-2007","Thomas Harrison Middle","M","Science","8",468,86.23,13.77
"2006-2007","Thomas Harrison Middle","M","Science","",468,86.23,13.77
"2006-2007","Thomas Harrison Middle","M","Writing","8",429,82.22,17.78
"2006-2007","Thomas Harrison Middle","M","Writing","",429,82.22,17.78
"2006-2007","Thomas Harrison Middle","M","","",429,82.22,17.78
"2006-2007","Thomas Harrison Middle","M","","",444,64.75,35.25
"2006-2007","Thomas Harrison Middle","M","","",456,75.69,24.31
"2006-2007","Thomas Harrison Middle","M","","",457,74.5,25.5
"2006-2007","Thomas Harrison Middle","M","","",468,86.23,13.77
"2006-2007","Thomas Harrison Middle","","Algebra I","EOC",543,100,0
"2006-2007","Thomas Harrison Middle","","Algebra I","",543,100,0
"2006-2007","Thomas Harrison Middle","","English Reading","6",470,79.94,20.06
"2006-2007","Thomas Harrison Middle","","English Reading","7",465,74.26,25.74
"2006-2007","Thomas Harrison Middle","","English Reading","8",452,75.43,24.57
"2006-2007","Thomas Harrison Middle","","English Reading","",462,76.68,23.32
"2006-2007","Thomas Harrison Middle","","History","8",448,73.17,26.83
"2006-2007","Thomas Harrison Middle","","History","",448,73.17,26.83
"2006-2007","Thomas Harrison Middle","","Mathematics","6",426,62.22,37.78
"2006-2007","Thomas Harrison Middle","","Mathematics","7",423,54.58,45.42
"2006-2007","Thomas Harrison Middle","","Mathematics","8",474,75.82,24.18
"2006-2007","Thomas Harrison Middle","","Mathematics","",441,64.19,35.81
"2006-2007","Thomas Harrison Middle","","Science","8",463,83.52,16.48
"2006-2007","Thomas Harrison Middle","","Science","",463,83.52,16.48
"2006-2007","Thomas Harrison Middle","","Writing","8",434,86.03,13.97
"2006-2007","Thomas Harrison Middle","","Writing","",434,86.03,13.97
"2006-2007","Thomas Harrison Middle","","","",434,86.03,13.97
"2006-2007","Thomas Harrison Middle","","","",445,65.77,34.23
"2006-2007","Thomas Harrison Middle","","","",448,73.17,26.83
"2006-2007","Thomas Harrison Middle","","","",462,76.68,23.32
"2006-2007","Thomas Harrison Middle","","","",463,83.52,16.48
"2006-2007","Waterman Elementary","F","English Reading","3",454,62.86,37.14
"2006-2007","Waterman Elementary","F","English Reading","4",486,85.71,14.29
"2006-2007","Waterman Elementary","F","English Reading","5",475,83.33,16.67
"2006-2007","Waterman Elementary","F","English Reading","",473,78.4,21.6
"2006-2007","Waterman Elementary","F","History","3",539,95.65,4.35
"2006-2007","Waterman Elementary","F","History","CST",497,91.3,8.7
"2006-2007","Waterman Elementary","F","History","",511,92.75,7.25
"2006-2007","Waterman Elementary","F","Mathematics","3",481,89.19,10.81
"2006-2007","Waterman Elementary","F","Mathematics","4",447,72.09,27.91
"2006-2007","Waterman Elementary","F","Mathematics","5",477,87.76,12.24
"2006-2007","Waterman Elementary","F","Mathematics","",468,82.95,17.05
"2006-2007","Waterman Elementary","F","Science","3",516,95.65,4.35
"2006-2007","Waterman Elementary","F","Science","5",449,82.22,17.78
"2006-2007","Waterman Elementary","F","Science","",472,86.76,13.24
"2006-2007","Waterman Elementary","F","Writing","5",491,97.06,2.94
"2006-2007","Waterman Elementary","F","Writing","",491,97.06,2.94
"2006-2007","Waterman Elementary","F","","",468,82.95,17.05
"2006-2007","Waterman Elementary","F","","",472,86.76,13.24
"2006-2007","Waterman Elementary","F","","",473,78.4,21.6
"2006-2007","Waterman Elementary","F","","",491,97.06,2.94
"2006-2007","Waterman Elementary","F","","",511,92.75,7.25
"2006-2007","Waterman Elementary","M","English Reading","3",428,55.26,44.74
"2006-2007","Waterman Elementary","M","English Reading","4",433,66.67,33.33
"2006-2007","Waterman Elementary","M","English Reading","5",451,76.92,23.08
"2006-2007","Waterman Elementary","M","English Reading","",436,64.95,35.05
"2006-2007","Waterman Elementary","M","History","3",533,96.43,3.57
"2006-2007","Waterman Elementary","M","History","CST",492,84.21,15.79
"2006-2007","Waterman Elementary","M","History","",516,91.84,8.16
"2006-2007","Waterman Elementary","M","Mathematics","3",479,84.62,15.38
"2006-2007","Waterman Elementary","M","Mathematics","4",430,63.64,36.36
"2006-2007","Waterman Elementary","M","Mathematics","5",466,77.78,22.22
"2006-2007","Waterman Elementary","M","Mathematics","",459,75.76,24.24
"2006-2007","Waterman Elementary","M","Science","3",495,88.89,11.11
"2006-2007","Waterman Elementary","M","Science","5",447,81.82,18.18
"2006-2007","Waterman Elementary","M","Science","",474,85.71,14.29
"2006-2007","Waterman Elementary","M","Writing","5",452,77.78,22.22
"2006-2007","Waterman Elementary","M","Writing","",452,77.78,22.22
"2006-2007","Waterman Elementary","M","","",436,64.95,35.05
"2006-2007","Waterman Elementary","M","","",452,77.78,22.22
"2006-2007","Waterman Elementary","M","","",459,75.76,24.24
"2006-2007","Waterman Elementary","M","","",474,85.71,14.29
"2006-2007","Waterman Elementary","M","","",516,91.84,8.16
"2006-2007","Waterman Elementary","","English Reading","3",441,58.9,41.1
"2006-2007","Waterman Elementary","","English Reading","4",463,77.33,22.67
"2006-2007","Waterman Elementary","","English Reading","5",467,81.08,18.92
"2006-2007","Waterman Elementary","","English Reading","",457,72.52,27.48
"2006-2007","Waterman Elementary","","History","3",536,96.08,3.92
"2006-2007","Waterman Elementary","","History","CST",496,89.23,10.77
"2006-2007","Waterman Elementary","","History","",513,92.37,7.63
"2006-2007","Waterman Elementary","","Mathematics","3",480,86.84,13.16
"2006-2007","Waterman Elementary","","Mathematics","4",440,68.42,31.58
"2006-2007","Waterman Elementary","","Mathematics","5",473,84.21,15.79
"2006-2007","Waterman Elementary","","Mathematics","",464,79.82,20.18
"2006-2007","Waterman Elementary","","Science","3",505,92,8
"2006-2007","Waterman Elementary","","Science","5",449,82.09,17.91
"2006-2007","Waterman Elementary","","Science","",473,86.32,13.68
"2006-2007","Waterman Elementary","","Writing","5",477,90.38,9.62
"2006-2007","Waterman Elementary","","Writing","",477,90.38,9.62
"2006-2007","Waterman Elementary","","","",457,72.52,27.48
"2006-2007","Waterman Elementary","","","",464,79.82,20.18
"2006-2007","Waterman Elementary","","","",473,86.32,13.68
"2006-2007","Waterman Elementary","","","",477,90.38,9.62
"2006-2007","Waterman Elementary","","","",513,92.37,7.63
"2006-2007","","F","Algebra I","EOC",472,93.13,6.88
"2006-2007","","F","Algebra I","",472,93.13,6.88
"2006-2007","","F","Algebra II","EOC",465,88.5,11.5
"2006-2007","","F","Algebra II","",465,88.5,11.5
"2006-2007","","F","Biology","EOC",449,86,14
"2006-2007","","F","Biology","",449,86,14
"2006-2007","","F","Chemistry","EOC",442,91.59,8.41
"2006-2007","","F","Chemistry","",442,91.59,8.41
"2006-2007","","F","Earth Science","EOC",440,78.57,21.43
"2006-2007","","F","Earth Science","",440,78.57,21.43
"2006-2007","","F","English Reading","3",454,65.54,34.46
"2006-2007","","F","English Reading","4",472,78.61,21.39
"2006-2007","","F","English Reading","5",456,74.85,25.15
"2006-2007","","F","English Reading","6",471,80.63,19.38
"2006-2007","","F","English Reading","7",477,77.17,22.83
"2006-2007","","F","English Reading","8",456,78.08,21.92
