"year","school","grade","gender","students"
"2012-2013","Keister Elementary","PK","F",11
"2012-2013","Keister Elementary","PK","M",22
"2012-2013","Keister Elementary","PK","",33
"2012-2013","Keister Elementary","","F",251
"2012-2013","Keister Elementary","","M",250
"2012-2013","Keister Elementary","","",501
"2012-2013","Skyline Middle","05","F",75
"2012-2013","Skyline Middle","05","M",81
"2012-2013","Skyline Middle","05","",156
"2012-2013","Skyline Middle","06","F",64
"2012-2013","Skyline Middle","06","M",75
"2012-2013","Skyline Middle","06","",139
"2012-2013","Skyline Middle","07","F",79
"2012-2013","Skyline Middle","07","M",85
"2012-2013","Skyline Middle","07","",164
"2012-2013","Skyline Middle","08","F",63
"2012-2013","Skyline Middle","08","M",72
"2012-2013","Skyline Middle","08","",135
"2012-2013","Skyline Middle","","F",281
"2012-2013","Skyline Middle","","M",313
"2012-2013","Skyline Middle","","",594
"2012-2013","Smithland Elementary","01","F",51
"2012-2013","Smithland Elementary","01","M",53
"2012-2013","Smithland Elementary","01","",104
"2012-2013","Smithland Elementary","02","F",37
"2012-2013","Smithland Elementary","02","M",53
"2012-2013","Smithland Elementary","02","",90
"2012-2013","Smithland Elementary","03","F",28
"2012-2013","Smithland Elementary","03","M",50
"2012-2013","Smithland Elementary","03","",78
"2012-2013","Smithland Elementary","04","F",34
"2012-2013","Smithland Elementary","04","M",46
"2012-2013","Smithland Elementary","04","",80
"2012-2013","Smithland Elementary","KG","F",52
"2012-2013","Smithland Elementary","KG","M",67
"2012-2013","Smithland Elementary","KG","",119
"2012-2013","Smithland Elementary","PK","F",17
"2012-2013","Smithland Elementary","PK","M",27
"2012-2013","Smithland Elementary","PK","",44
"2012-2013","Smithland Elementary","","F",219
"2012-2013","Smithland Elementary","","M",296
"2012-2013","Smithland Elementary","","",515
"2012-2013","Spotswood Elementary","01","F",45
"2012-2013","Spotswood Elementary","01","M",54
"2012-2013","Spotswood Elementary","01","",99
"2012-2013","Spotswood Elementary","02","F",38
"2012-2013","Spotswood Elementary","02","M",44
"2012-2013","Spotswood Elementary","02","",82
"2012-2013","Spotswood Elementary","03","F",42
"2012-2013","Spotswood Elementary","03","M",39
"2012-2013","Spotswood Elementary","03","",81
"2012-2013","Spotswood Elementary","04","F",39
"2012-2013","Spotswood Elementary","04","M",38
"2012-2013","Spotswood Elementary","04","",77
"2012-2013","Spotswood Elementary","KG","F",40
"2012-2013","Spotswood Elementary","KG","M",49
"2012-2013","Spotswood Elementary","KG","",89
"2012-2013","Spotswood Elementary","PK","F",8
"2012-2013","Spotswood Elementary","PK","M",13
"2012-2013","Spotswood Elementary","PK","",21
"2012-2013","Spotswood Elementary","","F",212
"2012-2013","Spotswood Elementary","","M",237
"2012-2013","Spotswood Elementary","","",449
"2012-2013","Stone Spring Elementary","01","F",32
"2012-2013","Stone Spring Elementary","01","M",32
"2012-2013","Stone Spring Elementary","01","",64
"2012-2013","Stone Spring Elementary","02","F",33
"2012-2013","Stone Spring Elementary","02","M",36
"2012-2013","Stone Spring Elementary","02","",69
"2012-2013","Stone Spring Elementary","03","F",34
"2012-2013","Stone Spring Elementary","03","M",44
"2012-2013","Stone Spring Elementary","03","",78
"2012-2013","Stone Spring Elementary","04","F",30
"2012-2013","Stone Spring Elementary","04","M",33
"2012-2013","Stone Spring Elementary","04","",63
"2012-2013","Stone Spring Elementary","KG","F",29
"2012-2013","Stone Spring Elementary","KG","M",25
"2012-2013","Stone Spring Elementary","KG","",54
"2012-2013","Stone Spring Elementary","PK","F",33
"2012-2013","Stone Spring Elementary","PK","M",58
"2012-2013","Stone Spring Elementary","PK","",91
"2012-2013","Stone Spring Elementary","","F",191
"2012-2013","Stone Spring Elementary","","M",228
"2012-2013","Stone Spring Elementary","","",419
"2012-2013","Thomas Harrison Middle","05","F",121
"2012-2013","Thomas Harrison Middle","05","M",127
"2012-2013","Thomas Harrison Middle","05","",248
"2012-2013","Thomas Harrison Middle","06","F",100
"2012-2013","Thomas Harrison Middle","06","M",124
"2012-2013","Thomas Harrison Middle","06","",224
"2012-2013","Thomas Harrison Middle","07","F",117
"2012-2013","Thomas Harrison Middle","07","M",98
"2012-2013","Thomas Harrison Middle","07","",215
"2012-2013","Thomas Harrison Middle","08","F",90
"2012-2013","Thomas Harrison Middle","08","M",129
"2012-2013","Thomas Harrison Middle","08","",219
"2012-2013","Thomas Harrison Middle","","F",428
"2012-2013","Thomas Harrison Middle","","M",478
"2012-2013","Thomas Harrison Middle","","",906
"2012-2013","Waterman Elementary","01","F",45
"2012-2013","Waterman Elementary","01","M",50
"2012-2013","Waterman Elementary","01","",95
"2012-2013","Waterman Elementary","02","F",51
"2012-2013","Waterman Elementary","02","M",50
"2012-2013","Waterman Elementary","02","",101
"2012-2013","Waterman Elementary","03","F",45
"2012-2013","Waterman Elementary","03","M",43
"2012-2013","Waterman Elementary","03","",88
"2012-2013","Waterman Elementary","04","F",38
"2012-2013","Waterman Elementary","04","M",18
"2012-2013","Waterman Elementary","04","",56
"2012-2013","Waterman Elementary","KG","F",50
"2012-2013","Waterman Elementary","KG","M",52
"2012-2013","Waterman Elementary","KG","",102
"2012-2013","Waterman Elementary","PK","F",35
"2012-2013","Waterman Elementary","PK","M",35
"2012-2013","Waterman Elementary","PK","",70
"2012-2013","Waterman Elementary","","F",264
"2012-2013","Waterman Elementary","","M",248
"2012-2013","Waterman Elementary","","",512
"2012-2013","","01","F",225
"2012-2013","","01","M",224
"2012-2013","","01","",449
"2012-2013","","02","F",206
"2012-2013","","02","M",231
"2012-2013","","02","",437
"2012-2013","","03","F",193
"2012-2013","","03","M",226
"2012-2013","","03","",419
"2012-2013","","04","F",189
"2012-2013","","04","M",175
"2012-2013","","04","",364
"2012-2013","","05","F",196
"2012-2013","","05","M",208
"2012-2013","","05","",404
"2012-2013","","06","F",164
"2012-2013","","06","M",199
"2012-2013","","06","",363
"2012-2013","","07","F",196
"2012-2013","","07","M",183
"2012-2013","","07","",379
"2012-2013","","08","F",153
"2012-2013","","08","M",201
"2012-2013","","08","",354
"2012-2013","","09","F",165
"2012-2013","","09","M",188
"2012-2013","","09","",353
"2012-2013","","10","F",184
"2012-2013","","10","M",145
"2012-2013","","10","",329
"2012-2013","","11","F",170
"2012-2013","","11","M",188
"2012-2013","","11","",358
"2012-2013","","12","F",157
"2012-2013","","12","M",181
"2012-2013","","12","",338
"2012-2013","","KG","F",220
"2012-2013","","KG","M",248
"2012-2013","","KG","",468
"2012-2013","","PK","F",104
"2012-2013","","PK","M",155
"2012-2013","","PK","",259
"2012-2013","","","F",2522
"2012-2013","","","M",2752
"2012-2013","","","",5274
