RANKING,MOVIE,DISTRIBUTOR,RELEASE YEAR,GROSS (USD in millions),ADJUSTED GROSS (USD in Millions)
128,Iron Man,Paramount,2008,318.41,352.12
129,The Bells of St. Mary's,RKO,1945,19.00,350.84
130,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,2008,317.10,350.67
131,An Officer and a Gentleman,Paramount,1982,129.80,350.54
132,Toy Story,Disney,1995,191.80,349.88
133,The Longest Day,Fox,1962,38.00,349.76
134,Funny Girl,Columbia,1968,58.72,349.32
135,Dances with Wolves,Orion,1990,184.21,346.59
136,Sergeant York,Warner Bros.,1941,15.00,346.21
137,Lawrence of Arabia,Columbia,1962,43.00,345.99
138,Cast Away,Fox,2000,233.63,344.16
139,Tom Jones,United Artists,1963,38.00,343.79
140,Kramer Vs. Kramer,Columbia,1979,106.26,341.58
141,Armageddon,Disney,1998,201.58,341.27
142,Three Men and a Baby,Disney,1987,167.78,340.71
143,Rocky III,MGM/UA,1982,125.05,337.72
144,Harry Potter and the Order of the Phoenix,Warner Bros.,2007,292.00,336.99
145,Rambo: First Blood Part II,TriStar,1985,150.42,336.42
146,Alice in Wonderland2010,Disney,2010,334.19,336.31
147,Batman Forever,Warner Bros.,1995,184.13,336.10
148,Pretty Woman,Disney,1990,178.41,335.67
149,Saturday Night Fever,Paramount,1977,94.21,335.45
150,Earthquake,Universal,1974,79.67,334.68
151,The Incredibles,Disney,2004,261.44,334.27
152,Rain Man,MGM/UA,1988,172.83,333.88
153,Home Alone 2: Lost in New York,Fox,1992,173.59,332.11
154,Duel in the Sun,Selznick Releasing,1946,20.41,330.70
155,My Big Fat Greek Wedding,IFC Films,2002,241.44,330.52
156,20000 Leagues Under The Sea,Disney,1954,25.00,329.61
157,Bonnie and Clyde,Warner Bros.,1967,50.00,325.41
158,Mission: Impossible,Paramount,1996,180.98,325.11
159,On Golden Pond,Universal,1981,119.29,323.77
160,Austin Powers: The Spy Who Shagged Me,New Line,1999,206.04,323.31
161,Bruce Almighty,Universal,2003,242.83,319.75
162,Harry Potter and the Half-Blood Prince,Warner Bros.,2009,301.96,319.67
163,Harry Potter and the Prisoner of Azkaban,Warner Bros.,2004,249.54,319.06
164,For Whom the Bell Tolls,Paramount,1943,16.00,318.19
165,Fatal Attraction,Paramount,1987,156.65,318.10
